sk8tag,name,lat,lon
sk82jtc767,skatepark,-13.8296905,-171.7658242
sk82svdvzp,skatepark,-17.7586628,-149.5031594
sk82svkn5y,skatepark,-17.5570795,-149.8445939
sk82svshjv,Skatepark de Tipaerui,-17.5458085,-149.5821113
sk83zzgbcv,Pista de patinaje,-0.7374102,-90.3115248
sk84qt9dfh,skatepark,-53.1615278,-70.888943
sk84qu3tzm,Parque de Skate,-51.7267333,-72.5131111
sk84rngxyh,skatepark,-49.9763237,-68.9109969
sk84rpz7n6,Skate Park,-49.3155864,-67.7158534
sk84ruu8jf,Parque Victor Jara,-45.5823889,-72.0668933
sk84rwzpnu,skatepark,-46.5436797,-68.9438559
sk84rwzpxm,skatepark,-46.5409464,-68.9203064
sk84rxzzdj,Plazoleta de skate Joaquín Urrutia,-46.4379735,-67.5148622
sk84ryus7f,Skatepark,-45.5938967,-69.0672406
sk84xb50e5,Skate Park,-45.8619889,-67.4733958
sk8627w35v,skatepark,-42.473712,-73.7765106
sk8627wru8,skatepark,-42.4701101,-73.4864344
sk862gcnfv,skatepark,-40.5891076,-73.1725881
sk862gvmdz,Pista Patinaje,-39.842407,-73.2251684
sk862gvmss,El Peor Skater Park,-39.8327697,-73.2285473
sk862gvqhv,skatepark,-39.8318711,-73.2058028
sk862gvscw,skatepark,-39.8051008,-73.258647
sk862m4vtz,Skate Park,-43.0784474,-71.4667539
sk862m7cdz,skatepark,-42.9191544,-71.2915965
sk862mr8pf,Skatepark,-42.2324275,-71.3633982
sk862shh1f,skatepark,-41.4743491,-72.9455482
sk862sj6bd,Skatepark de Llanquihue,-41.2616979,-73.0012965
sk862tq12j,Skatepark Costanera,-41.1321519,-71.3045619
sk862tq18p,Skatepark Centenario,-41.1319365,-71.291383
sk862tqk1m,Skate Park,-41.0813758,-71.1833063
sk862tqkfb,skatepark,-41.0735665,-71.1574674
sk862u10mz,skatepark,-40.5729986,-73.1033593
sk862u4c14,Pista de Skate,-40.2909854,-73.0771922
sk862ujpp5,Skatepark,-39.86322,-72.8120697
sk862up59f,Skate Park,-39.5404976,-72.968205
sk862ur844,skatepark,-39.4508235,-72.7693339
sk862v780w,skatepark,-40.1621432,-71.3576619
